screen_name,Year,Month,Date,text,likes,replies,retweets
FOIANate,2019,1,31,Pretty excited to talk #FOIA at @CatoInstitute on Feb 13 with this all star panel. https://www.cato.org/events/foia-you-tips-tricks-war-storiesÂ â€¦ Thanks to @PGEddington for putting it together! Be there or be square.,10,0,5
DanielSeidenDC,2019,1,31,#GSA and American Oversight are close to settling documents dispute involving Trump hotel and transition team #FOIA https://news.bloomberglaw.com/federal-contracting/trump-hotel-docs-dispute-nearing-settlement-parties-sayÂ â€¦,2,0,3
Stop_UTK_Now,2019,1,31,"Whistleblowers are so brave, but always get fired & fucked. HR is useless. We risk everything to expose wrongdoing & are supposed to have legal protections. The laws protect rich criminals. Everyone else is screwed. #whistleblowers #FOIA #HR #OFCCP #EEOChttps://www.nbcnews.com/politics/national-security/whistleblower-white-house-security-clearance-office-gets-suspended-n964826Â â€¦",2,0,3
Merton_G3,2019,1,31,"MT: #Trumpâ€™s Interior Department wants to change the rules to further restrict access to #publicrecords. These changes are not only bad policy, but they violate #FOIA itself.
 
 https://www.citizensforethics.org/press-release/interior-foia-changes/Â â€¦https://twitter.com/CREWcrew/status/1091018657067687936Â â€¦",0,0,0
mdbeebe,2019,1,31,"The @ACLUNJ is looking for 3rd-year law students and recent law graduates to serve for one year as a Civic Engagement & #Transparency Law Fellow.
 
 #CivilRights #OPRA #FOIA
 https://www.aclu-nj.org/about/careers/civic-engagement-transparency-law-fellowÂ â€¦",0,0,0
FOIANate,2019,1,31,Anybody know where I can find the Cheney Energy Policy Task Force document released via #FOIA that flashed on the screen during Vice?,1,2,0
MuckRock,2019,1,31,"MuckRock is offering free ""Mini Pro"" accounts for recently laid-off reporters https://buff.ly/2GdA7JQÂ #FOIA #journalismpic.twitter.com/PBrFLklR6b",0,0,1
cruzcerda3,2019,1,31,"As of Jan 30, the total comments received about proposed FOIA rule changes authored by #KochBrothers' Daniel Jorjani totalled 65,102.
 The proposed rule changes would make Jorjani the decision-maker about whether to approve #FOIA requests 
 https://www.regulations.gov/document?D=DOI_FRDOC_0001-0094Â â€¦pic.twitter.com/eba5bfrVZa",1,1,1
headlineclub,2019,1,31,"Most people who ask @ILAttyGeneral for help w/public records requests (aka: #FOIAs) are citizens, not journos, says @mickeyd1971 @ProPublicaIL. So folks, want to learn more about #FOIA? Come to #FOIAFest >> https://tinyurl.com/y8jxgzcoÂ @IllinoisCivics @McCormick_Fdn @contextmessage",7,0,2
MuckRock,2019,1,31,"Two terabytes of #data regarding #Enron and the 2000-2001 Western Energy Crisis were unpublished by the Department of Energy, and not even its custodians know why https://buff.ly/2WytQOsÂ #FOIA pic.twitter.com/UZzyVTURBW",3,0,4
LaurenLeHarper,2019,1,31,"the most bizarre thing about this story might be that the fake university's closure page still includes the fake school's seal and coat of arms
 https://www.washingtonpost.com/nation/2019/01/31/ice-set-up-fake-university-hundreds-enrolled-not-realizing-it-was-sting-operation/?utm_term=.f5190919b354Â â€¦ #ICE #FOIA pic.twitter.com/8kojEvnGvD",1,0,0
KristinFDalton,2019,1,31,Am I getting my #FOIA request back next week or am I getting my sixth extension?,1,1,0
SCPressAssoc,2019,1,31,"â€œWe will take a step backwards from the action the other night to ensure that we are consistent with the #FOIA [Freedom of Information Act] guidelines,â€ Canty said, â€œand with anything else that might be pertinent as it relates to that action.â€ @theitemhttps://www.theitem.com/stories/sumter-board-will-take-step-backwards-from-vote-to-reopen-mayewood,322020Â â€¦",0,0,0
sandramoscoso,2019,1,31,"Bingo! Thereâ€™s a perfect spot for all this data on http://opendata.dc.govÂ ! (Or even on http://data.dcpcsb.orgÂ , so long as itâ€™s kept fresh!) #opendata should make the work of #foia officers much more efficient! https://twitter.com/nathanluecking/status/1090985867135668225Â â€¦",5,2,0
SCPressAssoc,2019,1,31,Greenville County Council members who have never seen the county administrator's contract - despite asking for it for weeks - will get a chance to look at it in a closed meeting today. #FOIA #YourRightToKnow @GreenvilleNews @AnnaBard2Uhttps://www.greenvilleonline.com/story/money/2019/01/30/greenville-county-ems-crisis-council-members-demand-transparency/2703803002/Â â€¦,1,0,2
CraigMWhitlock,2019,1,31,This is appalling. UnivMaryland football player dies because of the school's incompetence and neglect. Then eight VIPs cash in on his death. Great #FOIA work by @RickMaesehttps://www.washingtonpost.com/sports/colleges/maryland-football-probe-cost-157-million-it-was-a-windfall-for-commission-members/2019/01/30/458ca562-24ad-11e9-ad53-824486280311_story.html?utm_term=.a3fa3f631b76Â â€¦,4,0,7
opengovva,2019,1,31,"#VCOG daily #access news, 1/31/19: AG & #FOIA lawsuit; secret law firm; mushroom; trade secret case #transparency #opengov https://www.opengovva.org/transparency-news-13119Â â€¦",0,0,0
Western_Values,2019,1,31,"Share if you agree: â€œItâ€™s never a good idea to scrap the rules that let the public know what the government is up to, but this could be the worst time in our history."" @selc_org via @thinkprogress re @Interior's proposal to alter its #FOIA program http://bit.ly/2MIQBeeÂ",6,0,4
StateImpactCntr,2019,1,31,".@MichaelDoyle10 of @EENewsUpdates reports that @Interior has received >46,000 public comments on proposed changes to the handling of Freedom of Information Act (#FOIA) requests, and not just â€œfrom environmentalists and reporters digging for dirt.â€ http://bit.ly/2RYGFTTÂ",1,1,0
MuckRock,2019,1,31,The #College Cola Contract #FOIA Crowdsouce has found that these agreements include everything from tournament parking to vending machine placement https://buff.ly/2GbcotOÂ pic.twitter.com/8VMCpR7ZxX,0,0,2
CAPenergypolicy,2019,1,31,Limiting access to #FOIA requests: New Trump admin proposal @Interior would guard the #CultureOfCorruption and protect @DOIDepSec Bernhardt's efforts to favor oil & gas interests. #StopBernhardthttps://cnn.it/2sXq3geÂ,1,0,1
KymHunteratlaw,2019,1,31,"""More than 60,000 public comments from Republicans, Democrats, tribal representatives, environmental groups, local governments and others"" including technical comments from 146 groups, came in. No one likes Government secrecy. #FOIA #Sunshinehttps://www.law360.com/articles/1123535/public-heaps-scorn-on-doi-plan-to-curb-info-accessÂ â€¦",0,0,0
MuckRock,2019,1,31,#PGE's possible role in the #CampFire disaster has sparked a renewed discussion over the necessity of public oversight for privately-owned #utilities: https://buff.ly/2Ru9kenÂ #FOIA pic.twitter.com/mvM2G41fj4,1,0,2
NCHealthNews,2019,1,31,"#NC #Democrats float #Medicaidexpansion bill, proving #disparity in #mentalhealth treatment is tough, testing #leadinwater in #daycare + #dementia & #highbloodpressure, #FOIA shows @CDC_Gov & @cocacola talked abt #obesity messaging, in our newsletter http://icont.ac/4dmPKÂ",0,0,1
janemiami,2019,1,31,#Prolife folks were all over that. Was she not available for meetings? I think someone in #VA shld #FOIA her calendar. She needs to be voted out of office.,0,0,0
MuckRock,2019,1,31,Have you ever successfully appealed a #FOIA denial? Add it to our growing appeals database to help give other requesters a much-needed head start! https://buff.ly/2UppzuXÂ,0,0,0
SMaurizi,2019,1,31,#ScotlandYard ha ottemperato alla decisione del giudice del Tribunale di Londra nel mio caso legale basato sul #FOIA per difendere il diritto della stampa di accedere ai documenti sul caso #WikiLeaks. ScotlandYard NON ha appellato la sentenza. Gutta Cavat Lapidem,8,0,5
NVAnimusApertus,2019,1,31,"He doesn't even try to hide it. They must be tired of pesky #FOIA & all the time-consuming redactions. 
 As in: ""Oh, hell with it, what are they gonna do about it anyway?""
 So much for: AmericanDreamConstitutionBillofRightsDemocracyFoundingFathersByThe PeopleLiberty platitudes. https://twitter.com/sahouraxo/status/1090702723085934597Â â€¦",0,0,0
bradheath,2019,1,31,The FBI says former FBI deputy director Andrew McCabe didn't do his #FOIA request right so it has refused to answer him. pic.twitter.com/FLKe4Zt8Ni,226,15,142
MuckRock,2019,1,31,"MuckRock is offering free ""Mini Pro"" accounts for recently laid-off reporters https://buff.ly/2Uv0IWMÂ #FOIA #journalismpic.twitter.com/6lCsJL0pu9",4,0,6
letgoofmyfannie,2019,1,31,"@POTUS: I Donâ€™t Trust People Anymore: http://youtu.be/ifDP_2e3b6Y#youÂ 
 #StrangerThings #Privacy #CIA #HumanRights #surveillance #DeepState #FollowTheWhiteRabbit #TheStorm #QAnon #POTUS #resistance #MAGA #NSA #8chan #horror #Wikileaks #XFiles #MKUltra #FOIA #OperationMockingbird #Khashoggi",2,0,0
JGodarn,2019,1,31,"@POTUS: I Donâ€™t Trust People Anymore: http://youtu.be/ifDP_2e3b6Y#youÂ 
 #StrangerThings #Privacy #CIA #HumanRights #surveillance #DeepState #FollowTheWhiteRabbit #TheStorm #QAnon #POTUS #resistance #MAGA #NSA #8chan #horror #Wikileaks #XFiles #MKUltra #FOIA #OperationMockingbird #Khashoggi",0,0,0
johnbates207,2019,1,31,#FOIA the FBI for their lists of past Klan members. We need to out everyoneâ€™s racist grandparents.,0,0,0
richneumeister,2019,1,31,"Kudos goes to @CarverCoLibrary staff who helped with the facilities and set up for #FOIA program......and special thanks to the employee who came to the rescue with our power point tech snafu. Once again, thanks.",2,0,1
MuckRock,2019,1,31,#PGE's possible role in the #CampFire disaster has sparked a renewed discussion over the necessity of public oversight for privately-owned #utilities: https://buff.ly/2RXxdQlÂ #FOIA pic.twitter.com/lvfSCJHdBa,1,1,2
MuckRock,2019,1,31,Submit your school to our College Cola Contract Crowdsource #FOIA project today! https://buff.ly/2RupyE4Â pic.twitter.com/MR8aVlCnKZ,0,0,1
cruzcerda3,2019,1,31,"New lawsuit from @NRDC accuses Trump admin of using the code name 'mushroom' in internal emails to stymie #FOIA requests and accuses Trump of delaying the mass transit project
 TRANSIT: Code name 'mushroom': FOIA suit sniffs out deception https://www.eenews.net/stories/1060119003Â â€¦ via @EENewsUpdates",0,0,0
FJBoccadoro,2019,1,31,It's one of the new #FOIA #government exemptions !,0,0,0
mark_selby723,2019,1,31,"i beleive what I can verify through official sources, I have not confirmed the recent trip manifest, yet, but yes she has done it many times in the past, with mega expenses to taxpayers for extravagant wining & dining, THAT is of PUBLIC RECORD sir Freedom of Information Act #FOIA pic.twitter.com/9OzvIRtK9T",0,0,0
cruzcerda3,2019,1,31,"Without a 2nd extension, the comment period ends at midnight on Wed.
 The author of the proposed changes Daniel Jorjani is a former advisor to the mega donor Koch brother and would be the decision-maker about whether to approve #FOIA requests
 https://thinkprogress.org/130-organizations-interior-foia-zinke-trump-bernhardt-9caf8abb6834/Â â€¦ @thinkprogress",1,1,1
VA_WB_Wife,2019,1,31,"#VAaccountability starts @VAOAWP & their employees. Time to clean house, #expose wrongdoing, release #FOIA docs, be #transparent. If you have to hide docs to protect your own employees thereâ€™s NO point in your office, #taxpayer $ should be used to actually HELP not HURT #Veteranspic.twitter.com/WGbNhK8AZJ",3,0,4
VA_WB_Wife,2019,1,31,"#VAaccountability starts @VAOAWP & their employees. Time to clean house, #expose wrongdoing, release #FOIA docs, be #transparent. If you have to hide docs to protect your own employees thereâ€™s NO point in your office, #taxpayer $ should be used to actually HELP not HURT #Veteranspic.twitter.com/EbzVsZb9Jj",4,0,4
FOIANate,2019,1,31,See my banner image for the oldest #foia s in the entire USG. Possibly/plausibly from @NSArchive.,2,1,0
nwademgaz,2019,1,31,"A state association of conservation districts violated the Arkansas Freedom of Information Act when it refused to turn over documents related to specialty license plate sales to a Washington County conservation district. 
 #NWANews #FOIA
 https://www.nwaonline.com/news/2019/jan/30/agreement-reached-in-foia-lawsuit-20190/?utm_medium=social&utm_source=twitter_nwademgazÂ â€¦pic.twitter.com/Y7Nc0CgpEv",0,0,0
resentfultweet,2019,1,31,"Been looking for an excuse to break this out, but one of the oldest #FOIA requests on MuckRock still being processed is from *December 2010,* and even then is only #96 in queue. Punchline: It's for the agency's five oldest FOIA requests: https://www.muckrock.com/foi/united-states-of-america-10/5-oldest-foia-requests-dia-291/Â â€¦",8,1,1
NuclearAnthro,2019,1,31,"I filed this #FOIA in June 2017. 
 
 If it actually gets returned by March 31, 2020 Iâ€™ll be fucking stunned. 
 
 And it may just come back with every page blacked out.
 
 This is in no real sense a functioning system of transparency thru public access to government documents.
 
 #PhDLifepic.twitter.com/DTfvg2DAIr",21,2,3
LLRX,2019,1,31,Refusals of FOI requests at record levels as UK government discloses less and less information https://www.thelondoneconomic.com/news/refusals-of-foi-requests-at-record-levels-as-government-discloses-less-and-less-information/30/01/Â â€¦ via @LondonEconomic #FOIA #opengovernment #govdocs,0,0,1
MuckRock,2019,1,30,"Does your right to know which companies are receiving your tax dollars outweigh those companiesâ€™ rights to competitive secrets? Thatâ€™s the question at stake in an upcoming #SupremeCourt case set to be heard in April, with huge implications for #FOIA https://buff.ly/2RubzyoÂ pic.twitter.com/GPPGpVxDWq",0,0,2
nancydrewed,2019,1,30,There needs to to be #FOIA override of NDAs after presidential election. https://twitter.com/crooksandliars/status/1090299556141531137Â â€¦,0,0,0
digiphile,2019,1,30,"Thank you for standing up for the publicâ€™s right to know, @pogoblog
 @crewcrew
 @openthegov
 @GovInfoWatch
 @demandprogress
 @nsarchive
 @GovAcctProj! #opengov #foia https://twitter.com/NoahBookbinder/status/1090704998445518848Â â€¦",22,0,11
thefreedompat,2019,1,30,"Retweet Your Pride @ Potus Honors Christmas With A Strong Indicator That Mueller Overrode.
 https://thefreedompatriot.com/2019/01/30/retweet-your-pride-potus-honors-christmas-with-a-strong-indicator-that-mueller-overrode/Â â€¦ via @thefreedompat
 #barack #christmas #cohen #foia #honors #house #mueller #obama #potus #pride",0,0,0
KymHunteratlaw,2019,1,30,"""The proposal comes amid a large uptick in #FOIA requests as journalists, climate advocates, and others work to gain information about the Trump administrationâ€™s large-scale environmental rollbacks and efforts targeting public lands.""
 
 https://thinkprogress.org/130-organizations-interior-foia-zinke-trump-bernhardt-9caf8abb6834/Â â€¦",2,0,0
nextrequest,2019,1,30,"2018's top states prioritizing collaboration, good governance, and strong citizen engagement in their use of technology to serve the public. @CntrDigitalGov #govtech #foia http://www.govtech.com/computing/Digital-States-2018.htmlÂ â€¦",0,0,0
ImmAttyBanias,2019,1,30,Looking for good #FOIA litigation treatise. Suggestions? (Looking at you @MatthewHoppock ),1,3,0
Timbo972,2019,1,30,"More than 130 organizations speak out against proposed Interior #FOIA changes
 The #Trump administration continues to crack down on #transparency
 https://thinkprogress.org/130-organizations-interior-foia-zinke-trump-bernhardt-9caf8abb6834/Â â€¦
 #USA #lobbying #CORRUPTION #DrainTheSwamp #GREED #LiarInChief @realDonaldTrump",0,0,0
MarkSZaidEsq,2019,1,30,Incredibly frustrating but not surprising at all. We deal with similar issues all the time in #FOIA cases. https://twitter.com/ZoeTillman/status/1090706781695815680Â â€¦,5,0,0
MuckRock,2019,1,30,The #College Cola Contract #FOIA Crowdsouce has found that these agreements include everything from tournament parking to vending machine placement https://buff.ly/2DKK4NhÂ pic.twitter.com/B46dg9uD5d,4,0,2
DeloitteRiskFin,2019,1,30,"Our new disclosure solution is designed to help users manage workflow, responses and reporting on #FOIA information requests, #dataprivacy and more.https://deloi.tt/2Gd6M2kÂ",0,0,0
richneumeister,2019,1,30,On to Chanhassen Library for free workshop on #FOIA....starts at 630pm https://www.swnewsmedia.com/chanhassen_villager/news/local/freedom-of-information-workshop-at-library/article_6d830c2a-f7f0-5dfb-905c-76dbc18699e9.htmlÂ â€¦,0,0,0
537votes,2019,1,30,What Does â€˜Off the Recordâ€™ Really Mean? https://nyti.ms/2O771N3Â @NFOIC @FlFaf #publicrecords #FOIA #opengov #FirstAmendmentFoundation #sayfie #FlaPol,1,0,2
resentfultweet,2019,1,30,"Yeah, there's definitely special cases where we'll link to different versions of records released off-site, and we have assignments like this one collecting different examples of #FOIA appeal language: https://www.muckrock.com/news/archives/2018/oct/01/submit-your-foia-appeals/?utm_content=bufferb8988&utm_medium=social&utm_source=twitter.com&utm_campaign=bufferÂ â€¦ ...",0,1,0
ChinookNatalie,2019,1,30,"#FOIA warriors, who is good at #openrecords in Oregon? I contacted Ginger McCall at SOS and @OpenOregon re: police refusing to verify a name without a valid exemption. I think. Who else knows their stuff?",2,1,2
ThePCJF,2019,1,30,A last act by Zinke before leaving the Interior Dept in disgrace after FOIAs exposed his misconduct was to make an advisor to the Koch bros in charge of #FOIA requests. Wks later they issued new rules to obstruct future FOIAs. Read PCJF's filed opposition: http://www.justiceonline.org/pcjf_comment_on_proposed_foia_rulemakingÂ â€¦,0,0,3
NikhelSus,2019,1,30,"When a gov't agency has a bunch of scandals, typically it gets a bunch of #FOIA requests. That's what happened at @Interior (remember that Zinke guy?) Interior's response? Propose a rule to make it much harder for the public to get records. (1/2)",0,1,0
jessiereport,2019,1,30,"If you didn't already know, the partial government shutdown has taken a toll on #FOIA. The @TheJusticeDept's Marshals Office is facing ""an extreme backlog."" They don't have estimated completion dates for any request.pic.twitter.com/Kv9coLcBt3",2,0,0
JordanSekulow,2019,1,30,The @ACLJ has just issued a #FOIA request to the National Institute of Health (NIH). We want to bring to light of their horrible practice of using aborted baby parts to â€œhumanize miceâ€ for â€œHIV therapeutics development.â€ https://aclj.us/2Rs1lOGÂ,59,2,46
DC_Matthew,2019,1,30,"Unbelievable, Obama @FBI is still in charge @POTUS, @DOJ someone needs to come forward and stop the lies inside while others outside #FOIA the shit out of this case and all involved. Darkness dies in the light of exposure!!!",1,0,0
Chris_May18,2019,1,30,"Big win for Deloitte and @RelativityHQ - check out our new solution that helps organizations manage their #dataprivacy and/or #FOIA requests and tasks to meet compliance standards. 
 https://www2.deloitte.com/us/en/pages/about-deloitte/articles/press-releases/deloitte-launches-new-proprietary-solution-on-relativity-to-help-manage-records-disclosure-and-data-privacy.html?nc=1Â â€¦",9,2,5
WildHorseEdu,2019,1,30,"A request for a hearing into proposed changes to #FOIA has been made by @RepRaulGrijalva . YOUR calls working! WE NEED YOU! https://bit.ly/2UzLv6XÂ 
 ""Why?"" is the most critical question you can ask. Protect your right to ask it. 
  help #wildhorses #publiclandspic.twitter.com/QFgZClvuou",36,2,38
AlinaHere,2019,1,30,"@realDonaldTrump please #ProtectOurChildren How many more Missing Persons/Children must we suffer?? #TruthMatters #FOIA
 https://youtu.be/2wYhF98jPfAÂ",0,0,0
maxinejoselow,2019,1,30,"In today's bizarre #FOIA news, a new lawsuit from @NRDC accuses Trump admin officials of using the code name ""mushroom"" to describe a transit project in internal emailshttps://www.eenews.net/greenwire/stories/1060119003/Â â€¦",0,0,2
MuckRock,2019,1,30,"MuckRock is looking for two reporters - one in #Arkansas, one in #Tennessee - to help find interesting stories hidden in public records in your state and share them with the world https://buff.ly/2Rub8UMÂ #journojobs #FOIA",0,0,0
NSArchive,2019,1,30,Supreme Court Grants Cert. In Case That May Re-Define Scope of #FOIA Exemption 4â€™s For Proprietary Business Information - What's at Stake https://www.natlawreview.com/article/supreme-court-grants-cert-case-may-re-define-scope-foia-exemption-4-s-proprietaryÂ â€¦,5,0,3
Neil_Wilby,2019,1,30,"â€˜....the law has not kept upâ€™. 
 
 Neither has hopelessly out of depth Elizabeth Denham. 
 
 As a #FOIA statutory regulator she is an epic fail. 
 
 Believe me, I know. https://twitter.com/ICOnews/status/1090667230960979977Â â€¦",3,1,8
MattKownacki,2019,1,30,I believe this qualifies for exemption from #FOIA under section b(s) https://twitter.com/thomas_peele/status/1090356264536727553Â â€¦,0,0,0
MuckRock,2019,1,30,"Two terabytes of #data regarding #Enron and the 2000-2001 Western Energy Crisis were unpublished by the Department of Energy, and not even its custodians know why https://buff.ly/2RvLXRKÂ #FOIA pic.twitter.com/kNp66gApna",0,0,4
jdfancher,2019,1,30,Deloitte's new solution on @RelativityHQ helps organizations manage #dataprivacy and #FOIA requests to meet #compliance standards #legaltechhttps://twitter.com/rial_ed/status/1090649464006758400Â â€¦,3,0,2
RelativityHQ,2019,1,30,.@Deloitte's #Relativity Innovation Award-winning disclosure solution will be available in #RelativityOne in the coming months: http://ow.ly/uNPQ50kp0oGÂ #FOIA #ediscovery #dataprivacy #compliance #legaltech #legalweek19 #legaltech19pic.twitter.com/QsgFFKtF4l,0,0,1
